flow_id,packet_count,byte_count,upload_bytes,download_bytes,upload_packets,download_packets,byte_ratio_up_down,packet_ratio_up_down,direction_imbalance,flow_duration,iat_mean,iat_std,iat_min,iat_max,iat_median,pkt_size_mean,pkt_size_std,pkt_q10,pkt_q25,pkt_q50,pkt_q75,pkt_q90,frac_small_pkts,first4_up_mean,first4_up_std,first4_down_mean,first4_down_std,pkt_bin_p0,pkt_bin_p1,pkt_bin_p2,pkt_bin_p3,pkt_size_entropy,pkt_bin_up_p0,pkt_bin_up_p1,pkt_bin_up_p2,pkt_bin_up_p3,pkt_bin_down_p0,pkt_bin_down_p1,pkt_bin_down_p2,pkt_bin_down_p3,pkt_size_entropy_up,pkt_size_entropy_down,iat_up_q10,iat_up_median,iat_up_q90,iat_up_cv,iat_up_skew,iat_down_q10,iat_down_median,iat_down_q90,iat_down_cv,iat_down_skew,burst_iai_cv,burst_count,avg_burst_packets,avg_burst_bytes,max_burst_packets,max_burst_bytes,frac_bytes_in_bursts,burst_bytes_cv,burst_packets_cv,burst_count_ratio_download,burst_count_t20,avg_burst_bytes_t20,max_burst_bytes_t20,frac_bytes_in_bursts_t20,burst_count_t50,avg_burst_bytes_t50,max_burst_bytes_t50,frac_bytes_in_bursts_t50,burst_count_t200,avg_burst_bytes_t200,max_burst_bytes_t200,frac_bytes_in_bursts_t200,peak_rate_1s,peak_download_1s,peak_upload_1s,burst_count_download,avg_burst_bytes_download,max_burst_bytes_download,label,source_file
"('100.72.115.16', '104.131.155.175', 42990, 123, 17)_seg0",2,180,90,90,1,1,0.5,0.5,0.0,0.07208538055419922,0.07208538055419922,0.0,0.07208538055419922,0.07208538055419922,0.07208538055419922,90.0,0.0,90.0,90.0,90.0,90.0,90.0,1.0,90.0,0.0,90.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,90.0,1,90,1.0,0.0,0.0,0.5,2,90.0,90,1.0,2,90.0,90,1.0,2,90.0,90,1.0,180.0,90.0,90.0,1,90.0,90,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '128.239.20.9', 34985, 53, 17)_seg0",2,246,93,153,1,1,0.3780487804878049,0.5,0.24390243902439024,0.019295454025268555,0.019295454025268555,0.0,0.019295454025268555,0.019295454025268555,0.019295454025268555,123.0,30.0,99.0,108.0,123.0,138.0,147.0,0.5,93.0,0.0,153.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,123.0,1,153,1.0,0.24390243902438827,0.0,0.5,2,123.0,153,1.0,2,123.0,153,1.0,2,123.0,153,1.0,246.0,153.0,93.0,1,153.0,153,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '128.239.20.9', 44939, 53, 17)_seg0",2,246,93,153,1,1,0.3780487804878049,0.5,0.24390243902439024,0.06645941734313965,0.06645941734313965,0.0,0.06645941734313965,0.06645941734313965,0.06645941734313965,123.0,30.0,99.0,108.0,123.0,138.0,147.0,0.5,93.0,0.0,153.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,123.0,1,153,1.0,0.24390243902438827,0.0,0.5,2,123.0,153,1.0,2,123.0,153,1.0,2,123.0,153,1.0,246.0,153.0,93.0,1,153.0,153,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '128.239.29.9', 40626, 53, 17)_seg0",2,246,93,153,1,1,0.3780487804878049,0.5,0.24390243902439024,0.0022399425506591797,0.0022399425506591797,0.0,0.0022399425506591797,0.0022399425506591797,0.0022399425506591797,123.0,30.0,99.0,108.0,123.0,138.0,147.0,0.5,93.0,0.0,153.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,123.0,1,153,1.0,0.24390243902438827,0.0,0.5,2,123.0,153,1.0,2,123.0,153,1.0,2,123.0,153,1.0,246.0,153.0,93.0,1,153.0,153,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '128.239.29.9', 60522, 53, 17)_seg0",2,246,93,153,1,1,0.3780487804878049,0.5,0.24390243902439024,0.05007624626159668,0.05007624626159668,0.0,0.05007624626159668,0.05007624626159668,0.05007624626159668,123.0,30.0,99.0,108.0,123.0,138.0,147.0,0.5,93.0,0.0,153.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,123.0,1,153,1.0,0.24390243902438827,0.0,0.5,2,123.0,153,1.0,2,123.0,153,1.0,2,123.0,153,1.0,246.0,153.0,93.0,1,153.0,153,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '139.177.202.26', 41353, 123, 17)_seg0",2,180,90,90,1,1,0.5,0.5,0.0,0.025013446807861328,0.025013446807861328,0.0,0.025013446807861328,0.025013446807861328,0.025013446807861328,90.0,0.0,90.0,90.0,90.0,90.0,90.0,1.0,90.0,0.0,90.0,0.0,0.9999999999995,0.0,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,2,1.0,90.0,1,90,1.0,0.0,0.0,0.5,2,90.0,90,1.0,2,90.0,90,1.0,2,90.0,90,1.0,180.0,90.0,90.0,1,90.0,90,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.250.31.132', 35312, 443, 6)_seg0",115,93485,5744,87741,47,68,0.06144301224795422,0.40869565217391307,0.8771139755040915,170.19285583496094,1.492919788025973,9.080274434586265,1.6689300537109375e-06,58.87576389312744,4.780292510986328e-05,812.9130434782609,752.2212505838079,66.0,66.0,594.0,1466.0,1466.0,0.391304347826087,543.0,570.0763106812982,768.0,1211.2852678044094,0.4695652173913003,0.034782608695651876,0.008695652173912969,0.48695652173912624,0.8634537749709132,0.9361702127659375,0.04255319148936079,0.0,0.021276595744680396,0.1470588235294096,0.029411764705881922,0.014705882352940961,0.8088235294117528,0.2780063622733909,0.6192801981342502,8.547306060791016e-05,0.0004773139953613281,0.02563917636871338,3.785918532912925,3.5347946917284196,4.1484832763671875e-05,0.00013637542724609375,0.002877950668334959,4.622054684955746,4.417556727288714,4.932441226316604,77,1.4935064935064934,1214.090909090909,4,5864,1.0,1.1747435302116427,0.45300926183034385,0.4805194805194805,77,1214.090909090909,5864,1.0,77,1214.090909090909,5864,1.0,77,1214.090909090909,5864,1.0,92540.0,87399.0,5141.0,37,2371.3783783783783,5864,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.250.31.132', 51295, 443, 17)_seg0",49,42986,7103,35883,18,31,0.16523984553110316,0.3673469387755102,0.6695203089377937,11.233478784561157,0.23403080801169077,1.5384022695288346,0.0,10.779067754745483,0.00012362003326416016,877.265306122449,701.1264049621227,73.0,85.0,1290.0,1294.0,1294.0,0.2653061224489796,1294.0,0.0,1304.75,870.1612997025321,0.346938775510197,0.06122448979591712,0.04081632653061141,0.551020408163254,0.9972416561066108,0.6111111111110772,0.16666666666665741,0.0,0.2222222222222099,0.19354838709676797,0.0,0.06451612903225598,0.7419354838709439,0.9338238517147219,0.7161414579413183,5.6695938110351565e-05,0.002863168716430664,0.16951818466186525,3.841646261948179,3.7471629483810815,3.5262107849121095e-05,7.617473602294922e-05,0.047201824188232565,5.171880464198748,5.196123987623245,4.97892820515408,29,1.6896551724137931,1482.2758620689656,5,9100,1.0,1.5227081106752969,0.6968722889368886,0.4827586206896552,29,1482.2758620689656,9100,1.0,29,1482.2758620689656,9100,1.0,29,1482.2758620689656,9100,1.0,27545.0,25983.0,5541.0,14,2563.0714285714284,9100,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.111.138', 45732, 443, 6)_seg0",59,26802,4759,22043,29,30,0.17756137601671518,0.4915254237288136,0.6448772479665696,171.16635155677795,2.9511439923582405,12.607539433481778,0.0,58.67790961265564,0.0001671314239501953,454.271186440678,596.8755606761687,66.0,66.0,105.0,682.5,1466.0,0.4576271186440678,543.25,570.0865614097564,768.0,698.0057306355013,0.6949152542372763,0.05084745762711778,0.03389830508474519,0.2203389830508437,0.8524030776514684,0.8965517241379002,0.06896551724137694,0.0,0.03448275862068847,0.49999999999998335,0.03333333333333222,0.06666666666666445,0.3999999999999867,0.3984405075837697,1.0069998091585206,5.0902366638183594e-05,0.0016834735870361328,16.313831448555028,2.8801120814485364,2.5490898150000727,2.0742416381835938e-05,0.00021600723266601562,10.98582491874691,2.939219572380354,2.6130847979868017,3.5972457894556147,43,1.372093023255814,623.3023255813954,4,2932,1.0,1.4498315151494328,0.4976243476573728,0.46511627906976744,43,623.3023255813954,2932,1.0,43,623.3023255813954,2932,1.0,43,623.3023255813954,2932,1.0,25857.0,21701.0,4156.0,20,1102.15,2932,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.111.84', 38030, 443, 6)_seg0",52,18499,5071,13428,25,27,0.27412292556354395,0.4807692307692308,0.45175414887291204,0.42501401901245117,0.008333608215930415,0.03568567467057215,0.0,0.2564704418182373,0.00015091896057128906,355.75,475.05035664248675,66.0,66.0,101.0,452.75,1395.9999999999995,0.5,541.5,570.0217101128693,768.0,698.0057306355013,0.692307692307679,0.0961538461538443,0.0961538461538443,0.11538461538461316,0.9540972238866333,0.7999999999999681,0.15999999999999362,0.0,0.039999999999998405,0.5925925925925707,0.03703703703703567,0.18518518518517835,0.18518518518517835,0.6004829082458254,1.05673321118294,2.11477279663086e-05,0.0008032321929931641,0.03014745712280273,3.030560706619283,4.286126031418498,0.0,0.0013619661331176758,0.020091891288757324,3.1941456951970904,4.6013544851404,2.858491298753079,25,2.08,739.96,6,2932,1.0,1.1609133306312052,0.6650621717608565,0.48,27,685.1481481481482,2932,1.0,25,739.96,2932,1.0,25,739.96,2932,1.0,9553.0,7777.0,3295.0,12,1119.0,2932,0,youtube_20260429162913_00001.pcapng
